# class,from,id,litres,name,price
WINE,CANADA,198267,3.0,COPPER MOON - MALBEC,30.99
WINE,CANADA,305375,4.0,DOMAINE D'OR - DRY,32.99
WINE,CANADA,53017,4.0,SOMMET ROUGE,29.99
WINE,CANADA,215525,4.0,MISSION RIDGE - PREMIUM DRY WHITE,33.99
WINE,USA,168971,3.0,ZINFANDEL - BIG HOUSE CARDINAL ZIN,36.99
WINE,FRANCE,234559,4.0,LE VILLAGEOIS RED - CELLIERS LA SALLE,34.99
WINE,CANADA,492314,16.0,SAWMILL CREEK - MERLOT,119.0
WINE,CANADA,587584,4.0,SOLA,32.99
WINE,CANADA,100925,0.75,GANTON & LARSEN PROSPECT - PINOT BLANC BIRCH CANOE 2011,13.99
SPIRITS,IRELAND,10157,0.75,JAMESON - IRISH,34.99
WINE,ITALY,102764,0.75,PINOT GRIGIO DELLE VENEZIE - RUFFINO LUMINA,15.99
SPIRITS,USA,103747,0.75,MAKER'S MARK - KENTUCKY BOURBON,44.95
SPIRITS,CANADA,1040,0.75,GORDONS - LONDON DRY,24.49
WINE,CANADA,104679,0.75,CALONA - ARTIST SERIES RESERVE PINOT GRIS 2011/13,12.99
WINE,USA,106476,0.75,PINOT NOIR - SIDURI RUSSIAN RIVER 11/12,49.99
SPIRITS,BRAZIL,107029,0.7,CACHACA 61,28.95
WINE,FRANCE,109082,0.75,CHATEAU PAVIE DECESSE 2008,239.0
SPIRITS,UNITED KINGDOM,1099,0.75,JOHNNIE WALKER - RED LABEL,29.99
WINE,ITALY,110460,1.0,LE CONTRADE - CO.PRO.VI,9.9
SPIRITS,CANADA,112433,0.75,BACARDI - BLACK,23.75
WINE,SPAIN,112789,0.75,ALVEAR - MEDIUM DRY,17.99
SPIRITS,UNITED KINGDOM,112896,1.75,JOHNNIE WALKER - RED LABEL,68.99
WINE,ITALY,114504,0.75,BAROLO - BROVIA CA'MIA 07/08,94.99
WINE,FRANCE,116517,0.75,CHABLIS GRAND CRU VALMUR - DOMAINE CHRISTIAN MOREAU 2012,69.99
WINE,CANADA,118893,0.75,MISSION HILL - FIVE VINEYARDS SAUVIGNON BLANC 12/13,14.99
WINE,GERMANY,12005,0.75,LIEBFRAUMILCH - KRAEMER,9.99
WINE,FRANCE,120170,0.75,CHATEAU LA MISSION HAUT BRION 2009,1800.0
WINE,PORTUGAL,121749,0.75,TAYLOR FLADGATE - 10 YEAR OLD TAWNY,39.99
WINE,ARGENTINA,124040,0.75,MALBEC - VINA CHELA RESERVE ORGANIC,14.99
SPIRITS,CANADA,125,1.14,CANADIAN CLUB - PREMIUM,37.09
SPIRITS,CANADA,125351,0.75,LAMB'S - BLACK SHEEP SPICED,27.99
WINE,USA,125617,0.75,CALIFORNIA RED - APOTHIC WINEMAKERS BLEND,16.99
SPIRITS,CANADA,126565,0.375,CHERRY LIQUEUR - OKANAGAN SPIRITS,35.0
WINE,FRANCE,127019,0.75,VOUVRAY SEC - VINCENT RAIMBAULT BEL AIR 10/11,23.99
WINE,ISRAEL,127027,0.75,VIOGNIER - GALIL MOUNTAIN KOSHER,18.99
BEER,CZECH REPUBLIC,127282,0.5,BARON BOHEMIAN TMAVY LEZAK,2.28
BEER,BELGIUM,129098,0.33,STELLA ARTOIS CAN,13.29
SPIRITS,MEXICO,129411,0.75,KAMORA - COFFEE,18.1
WINE,CANADA,131813,0.75,PELLER ESTATES - PROPRIETORS RESERVE SAUVIGNON BLANC,8.69
BEER,CANADA,131854,0.355,PACIFIC WESTERN - CARIBOO HONEY LAGER CAN,7.99
SPIRITS,UNITED KINGDOM,132480,0.7,OLD PULTENEY - 17 YEAR OLD,137.95
WINE,AUSTRALIA,135244,0.75,MERLOT - THE LITTLE PENGUIN,11.99
BEER,CANADA,135962,0.33,STANLEY PARK - BELGIAN STYLE PILSNER,12.5
SPIRITS,FRANCE,136721,0.7,COURVOISIER - L'ESSENCE DE COURVOISIER,3235.0
WINE,GERMANY,137521,0.75,RIESLING KABINETT - B RESS SCHLOSS REICHARTSHAUSEN 2009,26.99
WINE,USA,139139,0.75,ZINFANDEL - RAVENSWOOD SONOMA BARRICIA 2012,45.99
WINE,AUSTRALIA,140095,0.75,MERLOT - WOLF BLASS EAGLEHAWK,9.99
BEER,BELGIUM,14050,0.33,CARACOLE NOSTRADAMUS BRUNE,3.7
WINE,SOUTH AFRICA,140970,0.75,CABERNET SAUVIGNON - GRACELAND STELLENBOSCH 2012,29.99
SPIRITS,CHINA,143172,0.5,FEN JIU - 30 YEAR OLD,120.82
SPIRITS,UNITED KINGDOM,1453,1.14,TANQUERAY - LONDON DRY,37.99
WINE,USA,145433,0.75,GEKKEIKAN - SAKE,10.99
WINE,FRANCE,147280,0.75,PINOT GRIS - PFAFFENHEIM GRAND CRU STEINERT 08/09,34.95
WINE,FRANCE,148734,0.75,CHATEAU MOUTON ROTHSCHILD 2009,1800.0
WINE,PORTUGAL,149377,0.75,TAYLOR FLADGATE - VINTAGE 1985,259.99
WINE,FRANCE,150524,0.75,CHATEAU GRAND PUY LACOSTE 2009,158.0
BEER,CANADA,154401,0.341,GRANVILLE ISLAND - WINTER MINGLER,23.95
WINE,CHILE,154617,1.5,CABERNET SAUVIGNON SHIRAZ - CONO SUR TOCORNAL,15.79
WINE,FRANCE,154757,0.75,PAYS D'OC GRENACHE - PAUL MAS,12.99
WINE,FRANCE,154849,0.75,BATARD MONTRACHET - LOUIS LATOUR 2002,366.99
WINE,PORTUGAL,156059,0.75,SETUBAL - JOSE MARIE DA FONSECA ALBIS,11.99
SPIRITS,NETHERLANDS,15628,0.75,APRICOT BRANDY - BOLS,18.29
WINE,ITALY,156372,0.75,BOLGHERI - I GREPPI GREPPICANTE 07/08,29.99
WINE,FRANCE,157446,0.75,JULIENAS - HENRY FESSY 2009,25.99
WINE,FRANCE,16170,0.75,MARSANNAY BLANC - CHARLES AUDOIN 10/11,39.99
WINE,FRANCE,163071,0.75,PIERRE PAILLARD - GRAND CRU BRUT MILLESIME 2002,78.99
WINE,ARGENTINA,165662,0.75,TEMPRANILLO - ZUCCARDI Q MENDOZA 2010,21.99
WINE,CANADA,166348,0.75,PELLER - FAMILY SERIES SAUVIGNON BLANC 2011,12.99
WINE,FRANCE,169367,0.75,CHASSAGNE MONTRACHET 1ER LES EMBRAZEES - LEROY 06/07,199.99
WINE,SOUTH AFRICA,170100,0.75,VIOGNIER - FAIRHILLS,7.99
WINE,USA,170977,0.75,CALIFORNIA RED - BEAR FLAG DARK RED,10.99
SPIRITS,MEXICO,175331,0.75,GRAN  PATRON - PIEDRA,221.97
WINE,USA,175430,0.75,CHARDONNAY - WENTE MORNING FOG 2013,19.99
BEER,CANADA,175620,0.355,STROH CANADA - PABST BLUE RIBBON CAN,7.99
SPIRITS,CANADA,176255,0.75,MALIBU - BLACK COCONUT,23.75
WINE,GERMANY,177501,0.75,RIESLING - BLACK TOWER,11.99
BEER,JAMAICA,178491,0.33,RED STRIPE,12.49
WINE,ITALY,178541,0.75,BAROLO - BATASIOLO,38.99
WINE,AUSTRALIA,178947,0.75,MOSCATO - YELLOW TAIL,12.99
WINE,ITALY,179424,0.75,CHIANTI CLASSICO RISERVA - MONSANTO IL POGGIO 06,74.99
